,_id,date,user,url,followersCount,friendsCount,favouritesCount,mediaCount
0,6404b87340df800e34a87f95,2023-03-01 16:43:25,Vijay,https://twitter.com/Vijay/status/1630972016437395457,17754,4244,644,115
1,6404b87340df800e34a87f96,2023-02-24 03:25:26,Vijay,https://twitter.com/Vijay/status/1628959259689127937,17754,4244,644,115
2,6404b87340df800e34a87f97,2023-02-24 02:49:06,Vijay,https://twitter.com/Vijay/status/1628950113371705344,17754,4244,644,115
3,6404b87340df800e34a87f98,2023-02-19 10:35:07,Vijay,https://twitter.com/Vijay/status/1627255454555574273,17754,4244,644,115
4,6404b87340df800e34a87f99,2023-02-18 13:48:38,Vijay,https://twitter.com/Vijay/status/1626941765667418113,17754,4244,644,115
5,6404b87340df800e34a87f9a,2023-02-01 08:50:06,Vijay,https://twitter.com/Vijay/status/1620706041947385856,17754,4244,644,115
6,6404b87340df800e34a87f9b,2023-01-26 17:10:18,Vijay,https://twitter.com/Vijay/status/1618657595304316929,17754,4244,644,115
7,6404b87340df800e34a87f9c,2023-01-25 02:19:19,Vijay,https://twitter.com/Vijay/status/1618070985156202496,17754,4244,644,115
8,6404b87340df800e34a87f9d,2023-01-20 08:56:19,Vijay,https://twitter.com/Vijay/status/1616358952903798784,17754,4244,644,115
9,6404b87340df800e34a87f9e,2023-01-20 07:15:59,Vijay,https://twitter.com/Vijay/status/1616333705131462658,17754,4244,644,115
10,6404b87340df800e34a87f9f,2023-01-17 15:09:50,Vijay,https://twitter.com/Vijay/status/1615365788306919424,17754,4244,644,115
11,6404b87340df800e34a87fa0,2023-01-17 04:56:21,Vijay,https://twitter.com/Vijay/status/1615211397763436545,17754,4244,644,115
12,6404b87340df800e34a87fa1,2023-01-14 17:21:38,Vijay,https://twitter.com/Vijay/status/1614311791663919104,17754,4244,644,115
13,6404b87340df800e34a87fa2,2023-01-11 05:12:45,Vijay,https://twitter.com/Vijay/status/1613041198901624832,17754,4244,644,115
